scenario,shock,delay,total_shock,LT,close_factor,liq_bonus,slippage,liquidatable_rate,bad_debt_rate
mild,-0.1,0,-0.1,0.85,0.8,0.05,0.02,0.039,0.010407763617017136
base,-0.2,1,-0.22,0.85,0.8,0.05,0.02,0.2988,0.06960061851490648
severe,-0.3,2,-0.35,0.85,0.8,0.05,0.02,0.8067,0.16852229971605892
crisis,-0.4,3,-0.5,0.85,0.8,0.05,0.02,0.9933,0.269822379348763
mild,-0.1,0,-0.1,0.85,0.8,0.05,0.05,0.039,0.010407763617017136
base,-0.2,1,-0.22,0.85,0.8,0.05,0.05,0.2988,0.06960200165547702
severe,-0.3,2,-0.35,0.85,0.8,0.05,0.05,0.8067,0.1704565882646243
crisis,-0.4,3,-0.5,0.85,0.8,0.05,0.05,0.9933,0.2863227920062166
mild,-0.1,0,-0.1,0.85,0.8,0.08,0.0,0.039,0.010407763617017136
base,-0.2,1,-0.22,0.85,0.8,0.08,0.0,0.2988,0.06960097710690624
severe,-0.3,2,-0.35,0.85,0.8,0.08,0.0,0.8067,0.16893516184695417
crisis,-0.4,3,-0.5,0.85,0.8,0.08,0.0,0.9933,0.27395824318134415
